cert_city_cd,cert_city_nm,city_tag,map_city_id
1101,北京辖区,北京,1101
1102,北京辖县,北京,1102
1127,北京辖县,北京,1102
1201,天津辖区,天津,1201
1202,天津辖县,天津,1202
1211,天津辖县,天津,1202
1234,天津辖县,天津,1202
1300,河北,河北,1300
1301,石家庄,石家庄,1301
1302,唐山,唐山,1302
1303,秦皇岛,秦皇岛,1303
1304,邯郸,邯郸,1304
1305,邢台,邢台,1305
1306,保定,保定,1306
1307,张家口,张家口,1307
1308,承德,承德,1308
1309,沧州,沧州,1309
1310,廊坊,廊坊,1310
1311,衡水,衡水,1311
1321,邯郸,邯郸,1304
1322,邢台,邢台,1305
1323,石家庄,石家庄,1301
1324,保定,保定,1306
1325,张家口,张家口,1307
1326,承德,承德,1308
1328,廊坊,廊坊,1310
1329,沧州,沧州,1309
1330,衡水,衡水,1311
1364,河北,河北,1300
1401,太原,太原,1401
1402,大同,大同,1402
1403,阳泉,阳泉,1403
1404,长治,长治,1404
1405,晋城,晋城,1405
1406,晋城辖县,晋城,1406
1407,晋中,晋中,1424
1409,忻州,忻州,1422
1410,临汾,临汾,1426
1411,吕梁,吕梁,1411
1421,雁北,雁北,1421
1422,忻州,忻州,1422
1423,忻州辖县,忻州,1423
1424,晋中,晋中,1424
1426,临汾,临汾,1426
1427,运城,运城,1427
1437,山西,山西,1437
1490,古交,古交,1490
1501,呼和浩特,呼和浩特,1501
1502,包头,包头,1502
1503,乌海,乌海,1503
1504,赤峰,赤峰,1504
1505,通辽,通辽,1505
1507,呼伦贝尔,呼伦贝尔,1507
1508,巴彦淖尔,巴彦淖尔,1508
1521,呼伦贝尔盟,呼伦贝尔盟,1521
1522,兴安盟,兴安盟,1522
1523,哲里木盟,哲里木盟,1523
1525,锡林郭勒盟,锡林郭勒盟,1525
1526,乌兰察布盟,乌兰察布盟,1526
1527,伊克昭盟,伊克昭盟,1527
1528,巴彦淖尔盟,巴彦淖尔盟,1528
1529,阿拉善盟,阿拉善盟,1529
2101,沈阳,沈阳,2101
2102,大连,大连,2102
2103,鞍山,鞍山,2103
2104,抚顺,抚顺,2104
2105,本溪,本溪,2105
2106,丹东,丹东,2106
2107,锦州,锦州,2107
2108,营口,营口,2108
2109,阜新,阜新,2109
2110,辽阳,辽阳,2110
2111,盘锦,盘锦,2111
2112,铁岭,铁岭,2112
2113,朝阳,朝阳,2113
2114,葫芦岛,葫芦岛,2114
2190,葫芦岛,兴城,2114
2201,长春,长春,2201
2202,吉林,吉林,2202
2203,四平,四平,2203
2204,辽源,辽源,2204
2205,通化,通化,2205
2206,白山,白山,2206
2207,松原,松原,2207
2208,白城,白城,2208
2210,吉林,吉林,2202
2223,白城,白城,2208
2224,延边,延边,2224
2274,吉林,吉林,2202
2290,梅河口,梅河口,2290
2301,哈尔滨,哈尔滨,2301
2302,齐齐哈尔,齐齐哈尔,2302
2303,鸡西,鸡西,2303
2304,鹤岗,鹤岗,2304
2305,双鸭山,双鸭山,2305
2306,大庆,大庆,2306
2307,伊春,伊春,2307
2308,佳木斯,佳木斯,2308
2309,七台河,七台河,2309
2310,牡丹江,牡丹江,2310
2311,黑河,黑河,2311
2312,绥化,绥化,2323
2321,哈尔滨,松花江,2301
2323,绥化,绥化,2323
