tb_nm,tb_nm_cn,src_tb_nm,src_db_cd,el_type,trgt_db_cd,sql_where,sql_pre_sql,batch_nm,is_del,ignore_cols
ods.pf_cust_info,ods.pf_cust_info,cust_info,PRIFUND,datax,dw,,truncate,T1,N,
ods.portal_wechat_card,门户名片主表,portal_wechat_card,HYPORTAL,datax,dw,,truncate,T1,N,
ods.portal_wechat_card_share,分享明细,portal_wechat_card_share,HYPORTAL,datax,dw,,truncate,T1,N,
ods.portal_wechat_card_visitor,访问明细,portal_wechat_card_visitor,HYPORTAL,datax,dw,,truncate,T1,N,
ods.portal_wechat_card_log,访问操作日志,portal_wechat_card_log,HYPORTAL,datax,dw,,truncate,T1,N,
ods.crm_hy_cust_account,ods.crm_hy_cust_account,hy_cust_account,CRM,datax,dw,,truncate,T1,N,
ods.crm_hy_cust_quit,ods.crm_hy_cust_quit,hy_cust_quit,CRM,datax,dw,,truncate,T1,N,
ods.crm_hy_cust_follow,ods.crm_hy_cust_follow,hy_cust_follow,CRM,datax,dw,,truncate,T1,N,
ods.crm_hy_cust_adjust,ods.crm_hy_cust_adjust,hy_cust_adjust,CRM,datax,dw,,truncate,T1,N,
ods.hyf_order_cust_bankcardinfo,海银基金银行卡信息,cust_bankcardinfo,FUND_ORDER,datax,dw,,truncate,T1,N,
ods.hyf_order_cust_custinfo,海银基金客户信息,cust_custinfo,FUND_ORDER,datax,dw,,truncate,T1,N,
ods.crm_hy_cust_per,ods.crm_hy_cust_per,hy_cust_per,CRM,datax,dw,,truncate,T1,N,
ods.hyf_order_cust_custinfo_append_p,ods.hyf_order_cust_custinfo_append_p,cust_custinfo_append_p,FUND_ORDER,datax,dw,,truncate,T1,N,
ods.of_cust_info,ods.of_cust_info,cust_info,AFUND,datax,dw,,truncate,T1,N,
ods.crm_hy_cust_info,crm客户信息表,hy_cust_info,CRM,datax,dw,,truncate,T1,N,"link_man,link_sex,link_crttype,link_crtdesc,link_crtcode,link_mobile,link_email,link_wechat,link_phone_first,link_phone_second,link_address_first,link_address_second,link_fax,link_zipcode_first,link_zipcode_second,foreign_name,remark"
ods.hycps_cps_cust_agreement_log,掌上海银客户授权许可,cps_cust_agreement_log,HYCPS,datax,dw,,truncate,T1,Y,
rtp.portal_wechat_card,门户名片主表,portal_wechat_card,HYPORTAL,datax,dw,,truncate,M5,N,
rtp.portal_wechat_card_share,分享明细,portal_wechat_card_share,HYPORTAL,datax,dw,share_time>=current_date-15,truncate,M5,N,
rtp.portal_wechat_card_visitor,访问明细,portal_wechat_card_visitor,HYPORTAL,datax,dw,create_time>=current_date-15,truncate,M5,N,
rtp.portal_wechat_card_log,访问操作日志,portal_wechat_card_log,HYPORTAL,datax,dw,create_time>=current_date-15,truncate,M5,N,
ods.crm_hy_camp_order,线下活动预约,hy_camp_order,CRM,datax,dw,,truncate,T1,N,
rtp.crm_hy_camp_order,线下活动预约,hy_camp_order,CRM,datax,dw,create_time>=current_date-50,truncate,M5,Y,
ods.crm_hy_camp_info,线下活动信息表,hy_camp_info,CRM,datax,dw,,truncate,T1,N,
rtp.crm_hy_camp_info,线下活动信息表,hy_camp_info,CRM,datax,dw,start_time>=current_date-30,truncate,M5,Y,
rtp.crm_hy_cust_info,crm客户信息表,hy_cust_info,CRM,datax,dw,,truncate,M5,N,"link_man,link_sex,link_crttype,link_crtdesc,link_crtcode,link_mobile,link_email,link_wechat,link_phone_first,link_phone_second,link_address_first,link_address_second,link_fax,link_zipcode_first,link_zipcode_second,foreign_name,remark"
ods.cms_mp_act_customer_log,获客记录表,mp_act_customer_log,CHANNEL,datax,dw,,truncate,T1,N,
ods.cms_mp_account,小程序分享账户表,mp_account,CHANNEL,datax,dw,,truncate,T1,N,
ods.cms_mp_act_log,直播用户日志表,mp_act_log,CHANNEL,datax,dw,,truncate,T1,N,
ods.cms_mp_act_share,小程序分享表,mp_act_share,CHANNEL,datax,dw,status='0',truncate,T1,N,
