comp_id,comp_nm,city_nm,prov_nm,is_match,city_lvl
2667,北京第九分公司,北京,北京,N,一线
2665,北京第七分公司,北京,北京,N,一线
2785,北方二区事业部待孵化分公司,无法区分,无法区分,N,无法区分
2784,浙江一区事业部待孵化分公司,无法区分,无法区分,N,二线
2782,上海福建事业群待孵化分公司,无法区分,无法区分,N,一线
2781,中西区事业部待孵化分公司,无法区分,无法区分,N,无法区分
2773,浙江二区事业部待孵化分公司,无法区分,无法区分,N,二线
2772,北方一区事业部待孵化分公司,无法区分,无法区分,N,无法区分
2473,宁夏银川第二分公司,银川,宁夏回族自治区,N,三线
730,杨浦分公司,上海,上海,N,一线
1834,原天津第二分公司,天津,天津,N,新一线
1912,浙江第二分公司,杭州,浙江,N,新一线
2650,北京第八分公司,北京,北京,N,一线
2807,机构第一分公司（上海）,上海,上海,N,一线
2725,机构第一分公司（北京）,北京,北京,N,一线
2721,机构第二分公司（北京）,北京,北京,N,一线
2797,机构第一分公司,无法区分,无法区分,N,无法区分
2790,北方新市场拓展部待孵化分公司,无法区分,无法区分,N,无法区分
2789,江苏二区事业部待孵化分公司,无法区分,无法区分,N,无法区分
2398,原天津第二分公司（2019年7月1日已关闭）,天津,天津,N,新一线
2786,华南区事业部待孵化分公司,无法区分,无法区分,N,无法区分
2787,江苏一区事业部待孵化分公司,无法区分,无法区分,N,无法区分
2753,烟台第一分公司,烟台,山东,N,二线
1847,上海杨浦第三分公司,上海,上海,N,一线
1832,杭州城西第二分公司,杭州,浙江,N,新一线
1846,原上海第三分公司（2019年6月1日关闭）,上海,上海,N,一线
1730,溪西分公司,杭州,浙江,N,新一线
1678,原长宁第二分公司,上海,上海,N,一线
1636,杭州上城第二分公司,杭州,浙江,N,新一线
1603,杭州拱墅第二分公司,杭州,浙江,N,新一线
1569,海银长汇天津分公司,天津,天津,N,新一线
1566,海银长汇管理天津分公司,天津,天津,N,新一线
1501,上城分公司,杭州,浙江,N,新一线
1447,鄞州分公司,宁波,浙江,N,新一线
1441,直销中心,无法区分,无法区分,N,无法区分
1438,员工存款虚拟分公司,无法区分,无法区分,N,无法区分
1440,原福州第二分公司,福州,福建,N,二线
3450,嘉兴海宁分公司（海盐筹备）,海宁,浙江,N,四线
763,原青岛第二分公司,青岛,山东,N,新一线
782,海曙分公司,宁波,浙江,N,新一线
759,原北京第二分公司,北京,北京,N,一线
3342,山西大同分公司,大同,山西,N,四线
1949,宁波海银投资管理有限公司,宁波,浙江,N,新一线
1714,原宜兴分公司（2019年2月底关闭）,宜兴,江苏,N,四线
1917,重庆分公司,重庆,重庆,Y,新一线
738,宁波分公司,宁波,浙江,Y,新一线
748,浙江分公司,杭州,浙江,Y,新一线
747,萧山分公司,杭州,浙江,Y,新一线
736,慈溪分公司,慈溪,浙江,Y,三线
734,余姚分公司,余姚,浙江,Y,四线
750,杭州分公司,杭州,浙江,Y,新一线
1542,温岭分公司,温岭,浙江,Y,四线
737,宁波北仑分公司,宁波,浙江,Y,新一线
1502,杭州上城分公司,杭州,浙江,Y,新一线
726,绍兴分公司,绍兴,浙江,Y,二线
1512,杭州拱墅分公司,杭州,浙江,Y,新一线
758,湖州分公司,湖州,浙江,Y,三线
735,宁波中山分公司,宁波,浙江,Y,新一线
1545,嘉兴海宁分公司,海宁,浙江,Y,四线
764,温州分公司,温州,浙江,Y,二线
1717,杭州湾分公司,慈溪,浙江,Y,三线
749,杭州城西分公司,杭州,浙江,Y,新一线
1842,温州乐清分公司,乐清,浙江,Y,四线
2432,嘉兴海盐分公司,海盐县,浙江,Y,四线
768,义乌分公司,义乌,浙江,Y,四线
721,台州分公司,台州,浙江,Y,二线
778,金华分公司,金华,浙江,Y,二线
773,象山分公司,象山县,浙江,Y,四线
1786,宁波新世纪分公司,宁波,浙江,Y,新一线
1923,嘉兴桐乡分公司,桐乡,浙江,Y,四线
2009,金华浦江分公司,浦江县,浙江,Y,四线
1947,慈溪观城分公司,慈溪,浙江,Y,三线
2008,义乌第二分公司,义乌,浙江,Y,四线
1921,杭州西湖分公司,杭州,浙江,Y,新一线
